fecha	valor
3/1993	20.3
2/1993	21.5
1/1993	20.1
12/1992	23.6
11/1992	20.2
10/1992	20.1
9/1992	17.0
8/1992	21.8
7/1992	19.1
6/1992	18.4
5/1992	18.7
4/1992	15.9
3/1992	17.4
2/1992	16.7
1/1992	17.3
12/1991	21.2
11/1991	20.5
10/1991	21.7
9/1991	20.4
8/1991	23.3
7/1991	19.8
6/1991	18.9
5/1991	18.9
4/1991	18.6
3/1991	18.8
2/1991	20.3
1/1991	27.6
